Issuer,Card Name,Customer Segment,Product Tier,Card Type,Annual Fee,Purchase APR,Foreign TX Fee,Balance Transfer Offer,Balance Transfer Fee,Sign-up Bonus / Promo,Rewards Program,Rewards Earn Rate,Travel Insurance,Lounge Access,Other Perks,Logo Link,Interest-free days,Minimum spend for bonus,Points caps,Contactless & digital wallet support,"Fees (late, overlimit, additional cards)",Direct PDS links
BankSA,BankSA Business Black Frequent Flyer,Business,Black,Frequent Flyer,$496,23.23%,0%,—,Standard,150k Pts,Qantas/Velocity,1.92 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/banksa.png,Up to 55 days,$4920,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.banksa.com.au/business/pds
DiviPay,DiviPay Black Frequent Flyer,Personal,Black,Frequent Flyer,$389,20.77%,0%,—,Standard,150k Pts,Qantas/Velocity,2.22 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/divipay.png,Up to 55 days,$4353,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/personal/pds
P&N Bank,P&N Bank Black Frequent Flyer,Sole Trader,Black,Frequent Flyer,$324,21.41%,0%,—,Standard,150k Pts,Qantas/Velocity,0.87 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/p&n bank.png,Up to 55 days,$1280,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.p&nbank.com.au/personal/pds
P&N Bank,P&N Bank Business Elite Frequent Flyer,Business,Elite,Frequent Flyer,$352,21.17%,0%,—,Standard,150k Pts,Qantas/Velocity,1.36 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/p&n bank.png,Up to 55 days,$2865,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.p&nbank.com.au/business/pds
BankSA,BankSA Signature Frequent Flyer,Sole Trader,Signature,Frequent Flyer,$637,22.52%,3%,—,Standard,150k Pts,Qantas/Velocity,2.05 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/banksa.png,Up to 55 days,$2832,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.banksa.com.au/personal/pds
CBA,CBA Business Black Frequent Flyer,Business,Black,Frequent Flyer,$301,20.16%,0%,—,Standard,120k Pts,Qantas/Velocity,0.50 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/cba.png,Up to 55 days,$5526,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.cba.com.au/business/pds
Teachers Mutual,Teachers Mutual Business Black Frequent Flyer,Business,Black,Frequent Flyer,$608,20.08%,0%,—,Standard,120k Pts,Qantas/Velocity,0.56 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$2018,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/business/pds
Bank of Melbourne,Bank of Melbourne Elite Frequent Flyer,Personal,Elite,Frequent Flyer,$332,20.64%,0%,—,Standard,120k Pts,Qantas/Velocity,1.17 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/bank of melbourne.png,Up to 55 days,$4286,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofmelbourne.com.au/personal/pds
Weel,Weel Elite Frequent Flyer,Personal,Elite,Frequent Flyer,$522,20.16%,0%,—,Standard,120k Pts,Qantas/Velocity,0.53 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/weel.png,Up to 55 days,$1935,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.weel.com.au/personal/pds
MyState Bank,MyState Bank Elite Frequent Flyer,Sole Trader,Elite,Frequent Flyer,$395,21.54%,0%,—,Standard,120k Pts,Qantas/Velocity,0.59 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/mystate bank.png,Up to 55 days,$3703,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.mystatebank.com.au/personal/pds
St George,St George Business Black Frequent Flyer,Business,Black,Frequent Flyer,$441,22.10%,0%,—,Standard,100k Pts,Qantas/Velocity,0.56 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/st george.png,Up to 55 days,$3067,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.stgeorge.com.au/business/pds
DiviPay,DiviPay Business Elite Frequent Flyer,Corporate,Elite,Frequent Flyer,$549,20.00%,0%,—,Standard,100k Pts,Qantas/Velocity,1.50 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/divipay.png,Up to 55 days,$5438,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/business/pds
Suncorp,Suncorp Elite Frequent Flyer,Sole Trader,Elite,Frequent Flyer,$497,21.91%,0%,—,Standard,100k Pts,Qantas/Velocity,0.68 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/suncorp.png,Up to 55 days,$4081,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.suncorp.com.au/personal/pds
HSBC,HSBC Business Signature Frequent Flyer,Corporate,Signature,Frequent Flyer,$277,21.14%,3%,—,Standard,100k Pts,Qantas/Velocity,1.43 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/hsbc.png,Up to 55 days,$1009,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/business/pds
Qantas Money,Qantas Money Entry Rewards,Personal,Entry,Rewards,$88,17.32%,3%,—,Standard,20k Pts,Qantas Money Rewards,0.78 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/qantas money.png,Up to 55 days,$2915,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.qantasmoney.com.au/personal/pds
Newcastle Permanent,Newcastle Permanent Business Signature Rewards,Business,Signature,Rewards,$295,21.08%,3%,—,Standard,150k Pts,Newcastle Permanent Rewards,1.12 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/newcastle permanent.png,Up to 55 days,$4266,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.newcastlepermanent.com.au/business/pds
NAB,NAB Black Rewards,Personal,Black,Rewards,$334,23.64%,0%,—,Standard,80k Pts,NAB Rewards,2.21 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/nab.png,Up to 55 days,$1168,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.nab.com.au/personal/pds
NAB,NAB Business Entry Rewards,Business,Entry,Rewards,$79,15.98%,3%,—,Standard,60k Pts,NAB Rewards,0.50 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/nab.png,Up to 55 days,$2402,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.nab.com.au/business/pds
BankSA,BankSA Business Black Low Rate,Business,Black,Low Rate,$6,13.96%,0%,0% for 12-24 mths,1-3%,None,N/A,1.11 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/banksa.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.banksa.com.au/business/pds
Police Bank,Police Bank Black Low Rate,Sole Trader,Black,Low Rate,$34,9.53%,0%,0% for 12-24 mths,1-3%,None,N/A,1.19 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/police bank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.policebank.com.au/personal/pds
Woolworths,Woolworths Black Low Rate,Sole Trader,Black,Low Rate,$41,11.00%,0%,0% for 12-24 mths,1-3%,None,N/A,1.19 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/woolworths.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.woolworths.com.au/personal/pds
Amex,Amex Black Low Rate,Sole Trader,Black,Low Rate,$30,12.46%,0%,0% for 12-24 mths,1-3%,None,N/A,1.38 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/amex.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.amex.com.au/personal/pds
Newcastle Permanent,Newcastle Permanent Business Elite Low Rate,Business,Elite,Low Rate,$52,10.87%,0%,0% for 12-24 mths,1-3%,None,N/A,0.69 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/newcastle permanent.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.newcastlepermanent.com.au/business/pds
Airwallex,Airwallex Business Elite Low Rate,Business,Elite,Low Rate,$7,13.60%,0%,0% for 12-24 mths,1-3%,None,N/A,1.47 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/airwallex.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/business/pds
Beyond Bank,Beyond Bank Business Elite Low Rate,Business,Elite,Low Rate,$37,13.32%,0%,0% for 12-24 mths,1-3%,None,N/A,1.87 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/beyond bank.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.beyondbank.com.au/business/pds
HSBC,HSBC Business Elite Low Rate,Business,Elite,Low Rate,$43,13.98%,0%,0% for 12-24 mths,1-3%,None,N/A,0.53 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/hsbc.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/business/pds
Airwallex,Airwallex Business Elite Low Rate,Corporate,Elite,Low Rate,$31,13.86%,0%,0% for 12-24 mths,1-3%,None,N/A,0.90 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/airwallex.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/business/pds
Westpac,Westpac Business Elite Low Rate,Corporate,Elite,Low Rate,$58,12.94%,0%,0% for 12-24 mths,1-3%,None,N/A,1.56 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/westpac.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.westpac.com.au/business/pds
DiviPay,DiviPay Elite Low Rate,Personal,Elite,Low Rate,$14,12.22%,0%,0% for 12-24 mths,1-3%,None,N/A,2.10 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/divipay.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/personal/pds
P&N Bank,P&N Bank Elite Low Rate,Personal,Elite,Low Rate,$5,12.45%,0%,0% for 12-24 mths,1-3%,None,N/A,1.26 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/p&n bank.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.p&nbank.com.au/personal/pds
P&N Bank,P&N Bank Elite Low Rate,Sole Trader,Elite,Low Rate,$2,13.23%,0%,0% for 12-24 mths,1-3%,None,N/A,0.54 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/p&n bank.png,Up to 55 days,N/A,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.p&nbank.com.au/personal/pds
Bank of Melbourne,Bank of Melbourne Business Entry Low Rate,Business,Entry,Low Rate,$46,10.95%,3%,0% for 12-24 mths,1-3%,None,N/A,1.50 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/bank of melbourne.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofmelbourne.com.au/business/pds
Great Southern Bank,Great Southern Bank Business Entry Low Rate,Business,Entry,Low Rate,$58,10.70%,3%,0% for 12-24 mths,1-3%,None,N/A,2.14 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/great southern bank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/business/pds
Virgin Money,Virgin Money Business Entry Low Rate,Corporate,Entry,Low Rate,$22,10.04%,3%,0% for 12-24 mths,1-3%,None,N/A,1.69 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/virgin money.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.virginmoney.com.au/business/pds
Volopay,Volopay Business Entry Low Rate,Corporate,Entry,Low Rate,$15,9.96%,3%,0% for 12-24 mths,1-3%,None,N/A,0.98 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/volopay.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.volopay.com.au/business/pds
Judo Bank,Judo Bank Business Entry Low Rate,Corporate,Entry,Low Rate,$42,12.70%,3%,0% for 12-24 mths,1-3%,None,N/A,1.51 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/judo bank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.judobank.com.au/business/pds
Great Southern Bank,Great Southern Bank Entry Low Rate,Personal,Entry,Low Rate,$37,9.70%,3%,0% for 12-24 mths,1-3%,None,N/A,1.33 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/great southern bank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/personal/pds
DiviPay,DiviPay Entry Low Rate,Sole Trader,Entry,Low Rate,$21,10.40%,3%,0% for 12-24 mths,1-3%,None,N/A,1.91 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/divipay.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/personal/pds
Newcastle Permanent,Newcastle Permanent Business Platinum Low Rate,Business,Platinum,Low Rate,$56,10.77%,3%,0% for 12-24 mths,1-3%,None,N/A,1.15 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/newcastle permanent.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.newcastlepermanent.com.au/business/pds
Citibank,Citibank Business Platinum Low Rate,Business,Platinum,Low Rate,$26,11.04%,3%,0% for 12-24 mths,1-3%,None,N/A,1.05 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/citibank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Citibank,Citibank Business Platinum Low Rate,Corporate,Platinum,Low Rate,$1,10.80%,3%,0% for 12-24 mths,1-3%,None,N/A,1.07 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/citibank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
